run,accuracy,diff,fam,ind,rel,alpha_neg,tau,enable_hcl
f6297130,0.8040000200271606,0.25,0.25,0.25,0.25,0.8,0.05,0
8ee4a539,0.8100000023841858,0.25,0.25,0.25,0.25,0.4,0.1,0
d1f34444,0.8059999942779541,0.25,0.25,0.25,0.25,0.4,0.2,0
067cb42d,0.8100000023841858,0.25,0.25,0.25,0.25,0.8,0.1,0
f01e95d6,0.8100000023841858,0.25,0.25,0.25,0.25,0.4,0.05,0
f6273180,0.8050000071525574,0.25,0.25,0.25,0.25,0.4,0.3,0
776512d4,0.8140000104904175,0.25,0.25,0.25,0.25,0.8,0.2,0
eb9f6abc,0.8059999942779541,0.25,0.25,0.25,0.25,0.2,0.1,10
7a341447,0.800000011920929,0.25,0.25,0.25,0.25,0.2,0.3,10
b33ef537,0.8090000152587891,0.25,0.25,0.25,0.25,0.2,0.05,10
7805a555,0.8090000152587891,0.25,0.25,0.25,0.25,0.4,0.05,10
6d142c33,0.800000011920929,0.25,0.25,0.25,0.25,0.2,0.2,10
7275f475,0.8040000200271606,0.25,0.25,0.25,0.25,0.4,0.3,10
1ea78b05,0.8149999976158142,0.25,0.25,0.25,0.25,0.8,0.3,10
1ecbd4e2,0.8109999895095825,0.25,0.25,0.25,0.25,0.8,0.1,10
e0987e23,0.8080000281333923,0.25,0.25,0.25,0.25,0.4,0.1,10
7d223f0a,0.8080000281333923,0.25,0.25,0.25,0.25,0.8,0.05,10
710b3ea6,0.8130000233650208,0.25,0.25,0.25,0.25,0.8,0.2,10
a4b3eddc,0.8050000071525574,0.25,0.25,0.25,0.25,0.4,0.1,20
f23134ad,0.7960000038146973,0.25,0.25,0.25,0.25,0.2,0.3,20
c4ea36e1,0.8090000152587891,0.25,0.25,0.25,0.25,0.2,0.05,20
79ab1349,0.7990000247955322,0.25,0.25,0.25,0.25,0.2,0.2,20
63430985,0.8090000152587891,0.25,0.25,0.25,0.25,0.4,0.05,20
a6979f86,0.8050000071525574,0.25,0.25,0.25,0.25,0.2,0.1,20
d9e6aa7b,0.7960000038146973,0.25,0.25,0.25,0.25,0.8,0.3,20
6b581930,0.8050000071525574,0.25,0.25,0.25,0.25,0.8,0.1,20
7be30ad2,0.7990000247955322,0.25,0.25,0.25,0.25,0.4,0.2,20
3097f523,0.8090000152587891,0.25,0.25,0.25,0.25,0.8,0.05,20
e3ce5433,0.7990000247955322,0.25,0.25,0.25,0.25,0.8,0.2,20
664a7d08,0.7960000038146973,0.25,0.25,0.25,0.25,0.4,0.3,20
92cf8198,0.8090000152587891,0.25,0.25,0.25,0.25,0.2,0.05,30
bd9de0fb,0.7990000247955322,0.25,0.25,0.25,0.25,0.2,0.2,30
d000d811,0.8090000152587891,0.25,0.25,0.25,0.25,0.4,0.05,30
3ec40417,0.8050000071525574,0.25,0.25,0.25,0.25,0.2,0.1,30
cf775311,0.8050000071525574,0.25,0.25,0.25,0.25,0.4,0.1,30
4ddfedab,0.7960000038146973,0.25,0.25,0.25,0.25,0.2,0.3,30
57e83608,0.7960000038146973,0.25,0.25,0.25,0.25,0.4,0.3,30
744e87df,0.7960000038146973,0.25,0.25,0.25,0.25,0.8,0.3,30
5342ec2f,0.8050000071525574,0.25,0.25,0.25,0.25,0.8,0.1,30
41584159,0.7990000247955322,0.25,0.25,0.25,0.25,0.4,0.2,30
cef3c8c6,0.8090000152587891,0.25,0.25,0.25,0.25,0.8,0.05,30
a0dedc1f,0.7990000247955322,0.25,0.25,0.25,0.25,0.8,0.2,30
04a89e2c,0.8040000200271606,0.25,0.25,0.25,0.25,0.4,0.2,10
72673cee,0.8159999847412109,0.25,0.25,0.25,0.25,0.8,0.3,0
dbb53bd7,0.800000011920929,0.25,0.25,0.25,0.25,0.2,0.3,0
bdadc87d,0.8029999732971191,0.25,0.25,0.25,0.25,0.2,0.2,0
